split,case_id,ficha,solidez,razonamiento
train,VAR-SOL-S01,"Nombre de la iniciativa: VAR-SOL-S01
Tipo de intent: Operativo
Declaracion del intent: Sistema que detecta anomalias de costos por centro y las marca para Finanzas; reduce el tiempo de revision.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Deteccion de anomalias >= 80% (linea base 55%); tiempo -50%
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",solido,
train,VAR-SOL-S02,"Nombre de la iniciativa: VAR-SOL-S02
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que genera borradores de minutas a partir de transcripciones; el autor valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Tiempo de documentacion -60% (de 90 a 36 min); satisfaccion >= 4/5
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",solido,
train,VAR-SOL-S03,"Nombre de la iniciativa: VAR-SOL-S03
Tipo de intent: Negocio
Declaracion del intent: Sistema que resume el historial del cliente para el representante antes de la llamada; es informativo.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Tiempo de preparacion -50%; satisfaccion del representante >= 4/5
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",solido,
train,VAR-SOL-S04,"Nombre de la iniciativa: VAR-SOL-S04
Tipo de intent: Operativo
Declaracion del intent: Sistema que prioriza tickets por severidad y los rutea al equipo correcto; el equipo decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Tiempo de primera respuesta -40% (de 8h a 5h)
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",solido,
train,VAR-SOL-S05,"Nombre de la iniciativa: VAR-SOL-S05
Tipo de intent: Operativo
Declaracion del intent: Sistema que resume reportes de gestion y marca desvios para la gerencia; la gerencia valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Tiempo de resumen < 2h; precision de desvios >= 85%
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",solido,
train,VAR-SOL-S06,"Nombre de la iniciativa: VAR-SOL-S06
Tipo de intent: Tecnico/Arquitectural
Declaracion del intent: Pipeline que clasifica logs para mejorar la observabilidad del equipo de plataforma.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Cobertura de clasificacion >= 90%; MTTR -30%
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",solido,
train,VAR-SOL-S07,"Nombre de la iniciativa: VAR-SOL-S07
Tipo de intent: Negocio
Declaracion del intent: Chatbot que responde consultas del cliente sobre su plan; escala a humano fuera de dominio.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Resolucion sin escalada >= 70%; CSAT >= 4/5
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",solido,
train,VAR-SOL-S08,"Nombre de la iniciativa: VAR-SOL-S08
Tipo de intent: Operativo
Declaracion del intent: Sistema que identifica clausulas de riesgo en contratos para el equipo legal; el abogado valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Cobertura de clausulas >= 90%; falsos negativos < 5%
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",solido,
train,VAR-SOL-S09,"Nombre de la iniciativa: VAR-SOL-S09
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que genera consultas SQL desde lenguaje natural para el analista; el analista revisa.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Tiempo de consulta -55%; consultas correctas >= 85%
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",solido,
train,VAR-SOL-S10,"Nombre de la iniciativa: VAR-SOL-S10
Tipo de intent: Operativo
Declaracion del intent: Sistema que predice demanda de stock para sugerir reposicion al comprador; el comprador decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Quiebres de stock -35%; exactitud de pronostico >= 80%
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",solido,
